data_type,time_total,time_increment,time_iosix,sensor_data
obd,7.56,0.0,2021-12-06 09:05:24.560000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,7.5861,0.0261,2021-12-06 09:05:24.586100,"{""rpm"": 689.5}"
obd,8.166,0.006,2021-12-06 09:05:25.166000,"{""veh_speed"": 0}"
obd,8.26,0.0,2021-12-06 09:05:25.260000,"{""aat"": 2}"
obd,8.36,0.0,2021-12-06 09:05:25.360000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,8.376,0.016,2021-12-06 09:05:25.376000,"{""e_load"": 29.412}"
obd,8.46,0.0,2021-12-06 09:05:25.460000,"{""c_temp"": 16}"
obd,8.56,0.0,2021-12-06 09:05:25.560000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,8.5861,0.0261,2021-12-06 09:05:25.586100,"{""rpm"": 681.0}"
obd,9.1659,0.0059,2021-12-06 09:05:26.165900,"{""veh_speed"": 0}"
obd,9.26,0.0,2021-12-06 09:05:26.260000,"{""aat"": 2}"
obd,9.36,0.0,2021-12-06 09:05:26.360000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,9.3763,0.0163,2021-12-06 09:05:26.376300,"{""e_load"": 28.235}"
obd,9.46,0.0,2021-12-06 09:05:26.460000,"{""c_temp"": 16}"
obd,9.56,0.0,2021-12-06 09:05:26.560000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,9.6466,0.0,2021-12-06 09:05:26.646600,"{""rpm"": 675.5}"
obd,10.1659,0.0059,2021-12-06 09:05:27.165900,"{""veh_speed"": 0}"
obd,10.26,0.0,2021-12-06 09:05:27.260000,"{""aat"": 2}"
obd,10.36,0.0,2021-12-06 09:05:27.360000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,10.3759,0.0159,2021-12-06 09:05:27.375900,"{""e_load"": 27.843}"
obd,10.46,0.0,2021-12-06 09:05:27.460000,"{""c_temp"": 16}"
obd,10.56,0.0,2021-12-06 09:05:27.560000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,10.5858,0.0258,2021-12-06 09:05:27.585800,"{""rpm"": 683.0}"
obd,11.1657,0.0057,2021-12-06 09:05:28.165700,"{""veh_speed"": 0}"
obd,11.1757,0.01,2021-12-06 09:05:28.175700,"{""aat"": 2}"
obd,11.1857,0.01,2021-12-06 09:05:28.185700,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,11.1957,0.01,2021-12-06 09:05:28.195700,"{""e_load"": 27.843}"
obd,11.2057,0.01,2021-12-06 09:05:28.205700,"{""c_temp"": 16}"
