data_type,time_total,time_increment,time_iosix,sensor_data
obd,0.401,0.0,2021-12-06 13:19:30.401000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,0.4215,0.0205,2021-12-06 13:19:30.421500,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,0.501,0.0,2021-12-06 13:19:30.501000,"{""fli"": 21.961}"
obd,0.601,0.0,2021-12-06 13:19:30.601000,"{""odometer_km"": 148466.734}"
obd,0.6316,0.0306,2021-12-06 13:19:30.631600,"{""veh_speed"": 0}"
obd,0.7016,0.0006,2021-12-06 13:19:30.701600,"{""aat"": 2}"
obd,0.801,0.0,2021-12-06 13:19:30.801000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,0.901,0.0,2021-12-06 13:19:30.901000,"{""e_load"": 25.098}"
obd,0.9115,0.0105,2021-12-06 13:19:30.911500,"{""c_temp"": 79}"
obd,1.001,0.0,2021-12-06 13:19:31.001000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,1.101,0.0,2021-12-06 13:19:31.101000,"{""rpm"": 678.5}"
obd,1.1276,0.0266,2021-12-06 13:19:31.127600,"{""status"": ""unknown address"", ""address"": ""1535"", ""bus_id"": ""255""}"
obd,1.4114,0.0104,2021-12-06 13:19:31.411400,"{""veh_speed"": 0}"
obd,1.501,0.0,2021-12-06 13:19:31.501000,"{""aat"": 2}"
obd,1.601,0.0,2021-12-06 13:19:31.601000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,1.6215,0.0205,2021-12-06 13:19:31.621500,"{""e_load"": 25.49}"
obd,1.701,0.0,2021-12-06 13:19:31.701000,"{""c_temp"": 79}"
obd,1.801,0.0,2021-12-06 13:19:31.801000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,1.8314,0.0304,2021-12-06 13:19:31.831400,"{""rpm"": 680.0}"
obd,2.4114,0.0104,2021-12-06 13:19:32.411400,"{""veh_speed"": 0}"
obd,2.501,0.0,2021-12-06 13:19:32.501000,"{""aat"": 2}"
obd,2.601,0.0,2021-12-06 13:19:32.601000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,2.6213,0.0203,2021-12-06 13:19:32.621300,"{""e_load"": 25.098}"
obd,2.701,0.0,2021-12-06 13:19:32.701000,"{""c_temp"": 79}"
obd,2.801,0.0,2021-12-06 13:19:32.801000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,2.8316,0.0306,2021-12-06 13:19:32.831600,"{""rpm"": 678.5}"
obd,3.4113,0.0103,2021-12-06 13:19:33.411300,"{""veh_speed"": 0}"
obd,3.501,0.0,2021-12-06 13:19:33.501000,"{""aat"": 2}"
obd,3.601,0.0,2021-12-06 13:19:33.601000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,3.6213,0.0203,2021-12-06 13:19:33.621300,"{""e_load"": 25.49}"
obd,3.701,0.0,2021-12-06 13:19:33.701000,"{""c_temp"": 80}"
obd,3.801,0.0,2021-12-06 13:19:33.801000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,3.8318,0.0308,2021-12-06 13:19:33.831800,"{""rpm"": 680.5}"
obd,4.4112,0.0102,2021-12-06 13:19:34.411200,"{""veh_speed"": 0}"
obd,4.501,0.0,2021-12-06 13:19:34.501000,"{""aat"": 2}"
obd,4.601,0.0,2021-12-06 13:19:34.601000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,4.6212,0.0202,2021-12-06 13:19:34.621200,"{""e_load"": 25.49}"
obd,4.701,0.0,2021-12-06 13:19:34.701000,"{""c_temp"": 80}"
obd,4.801,0.0,2021-12-06 13:19:34.801000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,4.8316,0.0306,2021-12-06 13:19:34.831600,"{""rpm"": 681.0}"
obd,5.4112,0.0102,2021-12-06 13:19:35.411200,"{""veh_speed"": 0}"
obd,5.501,0.0,2021-12-06 13:19:35.501000,"{""aat"": 2}"
obd,5.601,0.0,2021-12-06 13:19:35.601000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,5.6212,0.0202,2021-12-06 13:19:35.621200,"{""e_load"": 25.49}"
obd,5.701,0.0,2021-12-06 13:19:35.701000,"{""c_temp"": 80}"
obd,5.801,0.0,2021-12-06 13:19:35.801000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,5.8315,0.0305,2021-12-06 13:19:35.831500,"{""rpm"": 679.5}"
obd,6.411,0.01,2021-12-06 13:19:36.411000,"{""veh_speed"": 0}"
obd,6.501,0.0,2021-12-06 13:19:36.501000,"{""aat"": 2}"
obd,6.601,0.0,2021-12-06 13:19:36.601000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,6.6214,0.0204,2021-12-06 13:19:36.621400,"{""e_load"": 25.49}"
obd,6.701,0.0,2021-12-06 13:19:36.701000,"{""c_temp"": 80}"
obd,6.801,0.0,2021-12-06 13:19:36.801000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,6.8315,0.0305,2021-12-06 13:19:36.831500,"{""rpm"": 678.5}"
obd,7.4109,0.0099,2021-12-06 13:19:37.410900,"{""veh_speed"": 0}"
obd,7.501,0.0,2021-12-06 13:19:37.501000,"{""aat"": 2}"
obd,7.601,0.0,2021-12-06 13:19:37.601000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,7.6214,0.0204,2021-12-06 13:19:37.621400,"{""e_load"": 25.49}"
obd,7.701,0.0,2021-12-06 13:19:37.701000,"{""c_temp"": 80}"
obd,7.801,0.0,2021-12-06 13:19:37.801000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,7.8314,0.0304,2021-12-06 13:19:37.831400,"{""rpm"": 678.5}"
obd,8.4108,0.0098,2021-12-06 13:19:38.410800,"{""veh_speed"": 0}"
obd,8.501,0.0,2021-12-06 13:19:38.501000,"{""aat"": 2}"
obd,8.601,0.0,2021-12-06 13:19:38.601000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,8.6212,0.0202,2021-12-06 13:19:38.621200,"{""e_load"": 25.49}"
obd,8.701,0.0,2021-12-06 13:19:38.701000,"{""c_temp"": 80}"
obd,8.801,0.0,2021-12-06 13:19:38.801000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,8.8308,0.0298,2021-12-06 13:19:38.830800,"{""rpm"": 677.5}"
obd,9.4108,0.0098,2021-12-06 13:19:39.410800,"{""veh_speed"": 0}"
obd,9.501,0.0,2021-12-06 13:19:39.501000,"{""aat"": 2}"
obd,9.601,0.0,2021-12-06 13:19:39.601000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,9.6212,0.0202,2021-12-06 13:19:39.621200,"{""e_load"": 25.882}"
obd,9.701,0.0,2021-12-06 13:19:39.701000,"{""c_temp"": 80}"
obd,9.801,0.0,2021-12-06 13:19:39.801000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,9.8307,0.0297,2021-12-06 13:19:39.830700,"{""rpm"": 678.5}"
obd,10.4107,0.0097,2021-12-06 13:19:40.410700,"{""veh_speed"": 0}"
obd,10.501,0.0,2021-12-06 13:19:40.501000,"{""aat"": 2}"
obd,10.601,0.0,2021-12-06 13:19:40.601000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,10.6211,0.0201,2021-12-06 13:19:40.621100,"{""e_load"": 25.49}"
obd,10.701,0.0,2021-12-06 13:19:40.701000,"{""c_temp"": 80}"
obd,10.801,0.0,2021-12-06 13:19:40.801000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,10.8307,0.0297,2021-12-06 13:19:40.830700,"{""rpm"": 679.0}"
obd,11.4106,0.0066,2021-12-06 13:19:41.410600,"{""veh_speed"": 0}"
obd,11.4213,0.0107,2021-12-06 13:19:41.421300,"{""aat"": 2}"
obd,11.4306,0.0093,2021-12-06 13:19:41.430600,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,11.4416,0.011,2021-12-06 13:19:41.441600,"{""e_load"": 26.275}"
obd,11.4506,0.009,2021-12-06 13:19:41.450600,"{""c_temp"": 80}"
obd,11.4608,0.0102,2021-12-06 13:19:41.460800,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,11.4706,0.0098,2021-12-06 13:19:41.470600,"{""rpm"": 678.5}"
obd,12.4105,0.0095,2021-12-06 13:19:42.410500,"{""veh_speed"": 0}"
obd,12.4213,0.0108,2021-12-06 13:19:42.421300,"{""aat"": 2}"
obd,12.4306,0.0093,2021-12-06 13:19:42.430600,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,12.4415,0.0109,2021-12-06 13:19:42.441500,"{""e_load"": 25.882}"
obd,12.4506,0.0091,2021-12-06 13:19:42.450600,"{""c_temp"": 80}"
obd,12.4614,0.0108,2021-12-06 13:19:42.461400,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,12.4706,0.0092,2021-12-06 13:19:42.470600,"{""rpm"": 680.0}"
obd,13.4105,0.0095,2021-12-06 13:19:43.410500,"{""veh_speed"": 0}"
obd,13.4214,0.0109,2021-12-06 13:19:43.421400,"{""aat"": 2}"
obd,13.4305,0.0091,2021-12-06 13:19:43.430500,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,13.4423,0.0118,2021-12-06 13:19:43.442300,"{""e_load"": 25.882}"
obd,13.4504,0.0081,2021-12-06 13:19:43.450400,"{""c_temp"": 80}"
obd,13.4613,0.0109,2021-12-06 13:19:43.461300,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,13.4705,0.0092,2021-12-06 13:19:43.470500,"{""rpm"": 681.5}"
