data_type,time_total,time_increment,time_iosix,sensor_data
obd,7.4177,0.0057,2021-12-06 12:00:58.417700,"{""veh_speed"": 36}"
obd,7.512,0.0,2021-12-06 12:00:58.512000,"{""aat"": 2}"
obd,7.612,0.0,2021-12-06 12:00:58.612000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,7.6277,0.0157,2021-12-06 12:00:58.627700,"{""e_load"": 63.137}"
obd,7.712,0.0,2021-12-06 12:00:58.712000,"{""c_temp"": 73}"
obd,7.812,0.0,2021-12-06 12:00:58.812000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,7.8377,0.0257,2021-12-06 12:00:58.837700,"{""rpm"": 1671.0}"
obd,8.418,0.006,2021-12-06 12:00:59.418000,"{""veh_speed"": 36}"
obd,8.512,0.0,2021-12-06 12:00:59.512000,"{""aat"": 2}"
obd,8.612,0.0,2021-12-06 12:00:59.612000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,8.6278,0.0158,2021-12-06 12:00:59.627800,"{""e_load"": 48.627}"
obd,8.712,0.0,2021-12-06 12:00:59.712000,"{""c_temp"": 73}"
obd,8.812,0.0,2021-12-06 12:00:59.812000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,8.8377,0.0257,2021-12-06 12:00:59.837700,"{""rpm"": 1685.0}"
obd,9.4176,0.0056,2021-12-06 12:01:00.417600,"{""veh_speed"": 36}"
obd,9.512,0.0,2021-12-06 12:01:00.512000,"{""aat"": 2}"
obd,9.612,0.0,2021-12-06 12:01:00.612000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,9.6276,0.0156,2021-12-06 12:01:00.627600,"{""e_load"": 49.412}"
obd,9.712,0.0,2021-12-06 12:01:00.712000,"{""c_temp"": 73}"
obd,9.812,0.0,2021-12-06 12:01:00.812000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,9.8375,0.0255,2021-12-06 12:01:00.837500,"{""rpm"": 1715.5}"
obd,10.4177,0.0057,2021-12-06 12:01:01.417700,"{""veh_speed"": 37}"
obd,10.512,0.0,2021-12-06 12:01:01.512000,"{""aat"": 2}"
obd,10.612,0.0,2021-12-06 12:01:01.612000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,10.6275,0.0155,2021-12-06 12:01:01.627500,"{""e_load"": 50.98}"
obd,10.712,0.0,2021-12-06 12:01:01.712000,"{""c_temp"": 74}"
obd,10.812,0.0,2021-12-06 12:01:01.812000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,10.8375,0.0255,2021-12-06 12:01:01.837500,"{""rpm"": 1730.5}"
obd,11.4173,0.0053,2021-12-06 12:01:02.417300,"{""veh_speed"": 38}"
obd,11.4275,0.0102,2021-12-06 12:01:02.427500,"{""aat"": 2}"
obd,11.4373,0.0098,2021-12-06 12:01:02.437300,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,11.4475,0.0102,2021-12-06 12:01:02.447500,"{""e_load"": 50.98}"
obd,11.4573,0.0098,2021-12-06 12:01:02.457300,"{""c_temp"": 74}"
obd,11.4674,0.0101,2021-12-06 12:01:02.467400,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,11.4773,0.0099,2021-12-06 12:01:02.477300,"{""rpm"": 1755.0}"
obd,12.4173,0.0053,2021-12-06 12:01:03.417300,"{""veh_speed"": 39}"
obd,12.4282,0.0109,2021-12-06 12:01:03.428200,"{""aat"": 2}"
obd,12.4374,0.0092,2021-12-06 12:01:03.437400,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,12.4474,0.01,2021-12-06 12:01:03.447400,"{""e_load"": 53.333}"
obd,12.4574,0.01,2021-12-06 12:01:03.457400,"{""c_temp"": 74}"
obd,12.4674,0.01,2021-12-06 12:01:03.467400,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,12.4777,0.0103,2021-12-06 12:01:03.477700,"{""rpm"": 1808.5}"
obd,13.4172,0.0042,2021-12-06 12:01:04.417200,"{""veh_speed"": 40}"
obd,13.4276,0.0104,2021-12-06 12:01:04.427600,"{""aat"": 2}"
obd,13.4372,0.0096,2021-12-06 12:01:04.437200,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,13.4472,0.01,2021-12-06 12:01:04.447200,"{""e_load"": 50.98}"
obd,13.4574,0.0102,2021-12-06 12:01:04.457400,"{""c_temp"": 74}"
obd,13.4673,0.0099,2021-12-06 12:01:04.467300,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,13.4772,0.0099,2021-12-06 12:01:04.477200,"{""rpm"": 1865.5}"
obd,14.4171,0.0051,2021-12-06 12:01:05.417100,"{""veh_speed"": 41}"
obd,14.4273,0.0102,2021-12-06 12:01:05.427300,"{""aat"": 2}"
obd,14.4372,0.0099,2021-12-06 12:01:05.437200,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,14.4471,0.0099,2021-12-06 12:01:05.447100,"{""e_load"": 54.118}"
obd,14.4572,0.0101,2021-12-06 12:01:05.457200,"{""c_temp"": 74}"
